review,sentiment
"""Mr. Bug Goes To Town"" was the last major achievement the Fleischer studios produced. The quality of the Superman series produced at the same time is evident in this extraordinary film.<br /><br />The music and lyrics by Frank Loesser and Hoagy Carmichael (with assistance by Flieshcer veteran Sammy Timberg are quite good, but not as much as the scoring of the picture by Leigh Harline who also scored Snow White for Disney. Harline's ""atmospheric music"" is superb, and a treat for the ears.<br /><br />The layout and staging of the picture was years ahead of it's time, and once again the Fleischer's background artists outdid themselves. The techincolored beauty of the film cannot be denied, and while Hoppity the grasshopper is the star, the characters of Swat the Fly and Smack the Mosquito steal the picture. Swat's voicing by Jack Mercer (of Popeye fame) is priceless. Kenny Gardner (brother-in-law) of Guy Lombardo...and a featured vocalist in his band...does his usual pleasant job in the role of Dick Dickinsen.<br /><br />The movie has been criticized for all the wrong reasons. The Fleischer Studios were animation experts par excellence and this shows very clearly in the finished product. The movie is tuneful, the story great for all ages, and the final scenes of the bugs scrambling for their lives upon a rising skyscraper is some of the best staging and animation of any animated film past and present.<br /><br />Do not miss this wonderfully hand drawn film. Also don't fail to appreciate the title sequence with the most elaborate example of Max Fleischer's remarkable 3-D sterioptical process which took four months to construct and employed 16,000 tiny panes of glass in the ""electrified"" buildings of Manhattan.<br /><br />Do not miss Mr. Bug Goes To Town...aka Hoppity Goes To Town. I'll wager you'll be bug eyed at the results!",positive
"This is one of my two or three favorite Stooges shorts, and undoubtedly Christine McIntyre's best performance with the trio. She is good in a number of other shorts, but here she is absolutely brilliant. Her singing is not funny at all, in fact it is downright beautiful, but the plot is constructed in such a way that the singing enhances the humor rather than detracting from it. We listen to McIntyre sing the entirety of Voice of Spring no less than three times, but it never gets old, partly because we don't tire of her voice, and partly because it blends so well with the Stooges' antics. The use of operatic soprano in a comedy is reminiscent of Kitty Carlisle's role in the Marx Brothers' ""A Night At The Opera,"" but the singing is much more a part of the comedy here than in ""Opera,"" and McIntyre (perhaps more in other performances than here) exhibited a comedic talent of her own that Carlisle never did. The Stooges' buffoonery, McIntyre's singing, and a well-constructed plot combine for 5 out of 5 stars.",positive
"This is supposed to be based on Wilkie Collins' _The_Woman_In_White_, but the only resemblance it bore to that story were the characters' names, the time period, and the settings. If they were going to change the story so thoroughly, I don't understand why they needed to keep up the pretense that it came from Wilkie Collins. Go read the book. It's much better.",negative
"Of all the British imperialist movies like Four Feathers, Charge of the Light Brigade for example, this movie stands out as the cream of the crop. It reflects a time when ""the sun never set on the British Empire."" Get over it. I won't go into why because so many others have expressed the many reasons that makes this film great. I have visited the Alabama Hills and have photographed the pass through which the British marched and it remains as it was, unchanged by time and encroachment by man and vandals. And even though I know it's coming, seeing Din lying dead on a stretcher and when these lines are read <br /><br />""Yes, Din! Din! Din!<br /><br />You Lazarushian-leather Gunga Din!<br /><br />Though I've belted you and flayed you,<br /><br />By the livin' Gawd that made you,<br /><br />You're a better man than I am, Gunga Din"" <br /><br />I still, at 54 years of age, get misty eyed and anyone who says they don't is a liar. The range of emotions within it is the mark of a great movie. Like the ending of another great film, Of Mice and Men.",positive
"James Cagney, racketeer and political ward heeler, get to become a Deputy Commissioner of Corrections and visits a boys reform school. The catch is that Cagney is not in it for the graft, he genuinely wants to make a difference in the lives of the kids there because he comes from a background like their's.<br /><br />The villain of the piece is Dudley Digges who is a grafting chiseler and a sanctimonious hypocrite to boot. One of the subtexts of the plot of The Mayor of Hell is that these kids are mostly immigrants and those that judge them and are in positions of power are those who are here a few generations. Note in the mess hall scene as Digges offers a prayer of thanks for the food they are about to receive, Digges is eating well, but the kids are getting quality you wouldn't feed to your pet.<br /><br />Cagney has his own troubles back in the city with some of his henchmen and he has to take it on the lam. That puts Digges back in charge and setting up the film for it's climax.<br /><br />The Mayor of Hell was a typical product from the working class studio. And because it was pre-Code it gets pretty gruesome at times. A later version of this, Crime School, with Humphrey Bogart and the Dead End Kids, was a more sanitized remake.<br /><br />Although Cagney is fine in the lead role as is Madge Evans the school nurse, the acting honors go to Dudley Digges. Hard to believe that the same man could portray the drunken, but kindly, one legged ship's surgeon in Mutiny on the Bounty. But Digges is a fine player and a joy to watch in every film he's in. <br /><br />This film is not shown to often because of the racial and ethnic stereotypes it portrays. A whole lot of minorities would be offended today. Still it's a fine film.<br /><br />Interestingly enough a few years ago the film Sleepers came out and it touched on some of the same issues. I guess films about reform schools don't change in any time.",positive
"I loved this film. Not being a swooning Ed Wood Jr. fan, I prefer to appreciate his ""boundless enthusiasm"" and acknowledge his shortcomings. His movies are fun, but his personal story is one racked with pain. I hoped, and was delighted to find, that this film would be about understanding his turbulent life, rather than simply heaping him with posthumous praise. From beginning to end, this film evolves from a documentary into a mythology, leaving the cast and the viewer unexpectedly connected to each other and to Ed Wood Jr.<br /><br />What we get are people who knew Ed Wood the best talking about him from all perspectives, positive and negative, and showing us their character as much as Ed's. We get insight into Ed's personal and professional life: from his romances, to his drinking, to his sexuality, to his friends, to his enemies, and even to his film making.<br /><br />The film itself is shot in a low-budget way that seems done out of respect for Ed, as if using the techniques of most theatrically released movies from 1996 would be disrespectful (sort of like wearing a nicer suit than the President). The set designer uses a sense of humor and also a great deal of insight when matching each cast member with their background.<br /><br />Fans will be excited to hear personal testimony regarding Ed Wood controversies, and new comers will be amazed that this man was real. The DVD is full of impossible to find gems (""Crossroads of Lorado"" and photo galleries), but the real treasure of this film is the surprisingly engaging and interconnected story.<br /><br />Ed Wood had a habit of defining people through their association with him (for better or worse), to the point where one woman will go down in history as ""Swimming Pool Owner"" for once letting him and his friends be baptized in her pool. This ability to define a person's legacy comes through universally, as the most amazing effect of the film is to not only give a well rounded idea of the man that was Ed Wood Jr., but also to give a comprehensive view of the community that he created. Somehow, without ever having more that one cast member being interviewed on screen at a time, the connection that Ed Wood created amongst the various people in his life becomes clear, and the viewer is left with great sense of involvement.<br /><br />Even the title hints at the B-list horror genre, but by the end, we see that even this is a kindness. What begins as unrelated stories by random people ends with the conclusion that all of the cast will be forever weaved into an unpredictably cohesive fabric that history will bring into haunting unity with Wood's legend.<br /><br />In many ways a living contradiction, Ed Wood Jr. could not be condensed to a single viewpoint. This collaborative effort is the closest to knowing him that we can ever get. Being itself a juxtaposition of themes, it is at once respectful, provocative, thoughtful, gripping, fun, sad, kind, and fulfilling.",positive
"Having already seen the original ""Jack Frost"", I never thought that ""Jack Frost 2"" would be as absurd as it is. Boy was I wrong! Then again, A-PIX movies have a way of showing unbelievably bad material, even worse than you might expect. I believe this is the first A-PIX sequel, and it may be an indication of what to expect in the future: more A-PIX sequels.<br /><br />It's hard to watch this without laughing, especially during the later parts of the movie in which Jack Frost's offspring (which are essentially snowballs with eyes, arms, a mouth and sharp teeth) start killing people with the typical comedic dialogue and silly voices to go with it. They are shown both as puppets (with a stick underneath to move them) and as computer animation, which I have to say looks very cheesy. The computer animation surprised me, as the first ""Jack Frost"" had no such effects.<br /><br />I'd strongly recommend that you see the original ""Jack Frost"" before seeing this one (both of which it would be preferable to watch with a group of friends) to get the full amusement out of it, and because it would make more sense (""sense"" being a relative term).<br /><br />Now only if there was ""Uncle Sam 2""...",negative
"I had been subjected to this movie for a relationship class in my school. As figured it was nothing captivating and nothing new. Though it tries to be original by focusing on the teen father instead of the mother showing the problems that the dad would go through. It had an interesting side to it but it just doesn't live up to its originality due to the fact nothing else in this movie was original. We have the main character who has the older sister who like in every other movie like this has a thing against him, we have the stay at home mother who expects too much and when he gives more she feels offended and leaves him in the dust, then we have the father who is always gone. Then the girls side we have the parents who want everything and expect her to be perfect at all she does. On to the story like I said it was interesting but the lack of good acting from the entire cast and the lack of any good writing or storytelling. Everything about this fell into cliché the little nerd kid in school starts studying with girl, they get together, have sex and then boom we have a little kid. Perhaps it could've been better had the writing been well better and had the acting been improved I've seriously gotten more emotion out of Leatherface and his chainsaw than I did out of any actor in this film and that's pretty bad seeing as the Leatherface movies are crap and horridly acted. So far the only interesting teen pregnancy movie I've seen was Juno. So far the comical side of this serious situation has proved more entertaining while still giving the same message. Like I said the idea was original most of these films focus on the teen mother but this one chose not to instead it focuses on the drama of the father but again the originality does not save this movie from mediocrity. I really hope someone decides to either re-make this movie with a better cast and a better writer or just make another similar film because this one was wasted potential.",negative
"This movie is stuffed full of stock Horror movie goodies: chained lunatics, pre-meditated murder, a mad (vaguely lesbian) female scientist with an even madder father who wears a mask because of his horrible disfigurement, poisoning, spooky castles, werewolves (male and female), adultery, slain lovers, Tibetan mystics, the half-man/half-plant victim of some unnamed experiment, grave robbing, mind control, walled up bodies, a car crash on a lonely road, electrocution, knights in armour - the lot, all topped off with an incredibly awful score and some of the worst Foley work ever done.<br /><br />The script is incomprehensible (even by badly dubbed Spanish Horror movie standards) and some of the editing is just bizarre. In one scene where the lead female evil scientist goes to visit our heroine in her bedroom for one of the badly dubbed: ""That is fantastical. I do not understand. Explain to me again how this is..."" exposition scenes that litter this movie, there is a sudden hand held cutaway of the girl's thighs as she gets out of bed for no apparent reason at all other than to cover a cut in the bad scientist's ""Mwahaha! All your werewolfs belong mine!"" speech. Though why they went to the bother I don't know because there are plenty of other jarring jump cuts all over the place - even allowing for the atrocious pan and scan of the print I saw.<br /><br />The Director was, according to one interview with the star, drunk for most of the shoot and the film looks like it. It is an incoherent mess. It's made even more incoherent by the inclusion of werewolf rampage footage from a different film The Mark of the Wolf Man (made 4 years earlier, featuring the same actor but playing the part with more aggression and with a different shirt and make up - IS there a word in Spanish for ""Continuity""?) and more padding of another actor in the wolfman get-up ambling about in long shot.<br /><br />The music is incredibly bad varying almost at random from full orchestral creepy house music, to bosannova, to the longest piano and gong duet ever recorded. (Thinking about it, it might not have been a duet. It might have been a solo. The piano part was so simple it could have been picked out with one hand while the player whacked away at the gong with the other.) <br /><br />This is one of the most bewilderedly trance-state inducing bad movies of the year so far for me. Enjoy.<br /><br />Favourite line: ""Ilona! This madness and perversity will turn against you!"" How true.<br /><br />Favourite shot: The lover, discovering his girlfriend slain, dropping the candle in a cartoon-like demonstration of surprise. Rank amateur directing there.",positive
"There are times when finishing a film one wishes to have a refund for the time just spent. This was one of those times. I almost gave up with only 15 minutes left to endure... and I wish I had...<br /><br />The pace that a man goes from a straight-laced, controlled life to one of complete spinelessness and irresponsibility could never be this rapid.<br /><br />From a graduation celebration to the predictable ending Tristan Price (Jesse Metcalfe) man of privilege and culture allows himself to be seduced by a woman, by violence, and by mind altering substances. Of course, the woman part is understandable when observing the talents of the beautiful April (Nathalie Kelley). But the in for a penny in for a pound aspect of the drugs, violence and dedication to a person he has just met is impossible to understand.<br /><br />Frankly, besides being able to stare at Nathalie Kelley and Monica Keena, this film has no redeeming qualities. Save your money, save your time... do anything else...",negative
"Another film to punish us for the crime of enjoying ""Pulp Fiction.""<br /><br />If you like watching people get killed by machine gun fire for an hour and a half, this'll probably fit the bill. Fans of the debut episode of ""Aeon Flux,"" wherein the title character slays literally thousands of seemingly faceless soldiers single-handedly, will really go for it.<br /><br />Otherwise, it's not exactly a clever movie. In fact, all it is is an excuse for a bunch of young people to act rude and shoot people. Sometimes an entire scene goes by, and the only thing that happens is, you guessed it! someone gets shot. Or, to spice things up, twenty people get shot. First, they're just sitting there, the next minute, they're sitting there dead. Yahoo!<br /><br />Rough plot: A young American goes to Paris (An American in Paris, get it?), hires a prostitute (the ethereal Julie Delpy), gets in touch with some old French buddies, one of which has AIDS, they plan and attempt a bank heist. Of course, movie convention states that no bank robberies on film go off w/o a hitch, and this hitch takes up about three-quarters of the running time (it's like ""Dog Day Afternoon"" without the Sidney Lumet's wit, patience, or humanity). While at the bank, things go wrong (surprise!), and the Parisian with AIDS, goes wacko with his Uzi several HUNDRED times. No spoilers here, but suffice to say that you're at such an emotional distance from these characters that it's not likely you'll care who lives and who dies by the end of the film.<br /><br />Some have called it stylish. Perhaps it is, but it's someone else's style, it's a movie that's already been done, and ""Killing Zoe"" is trapped by convention. Nowhere in the course of the movie does the director (Roger Avary, co-winner of the ""Pulp Fiction"" screenplay Oscar) do anything really original, stylish, funky, or outrageous. Unless you consider the fact that no movie that has taken place inside a bank has had such a high body count, there isn't anything else to set this one apart from the multitude.",negative
"When the Romulans come, they will not be bearing gifts; no, they bring with them war - war and conquest. As any familiar with this episode know, it is a redux of the war film ""The Enemy Below"" from the fifties. The obvious difference is that instead of a battleship and a submarine (or an American Destroyer & German U-boat) engaged in lethal war games, it is two starships in outer space. In Trek history, about 100 years before the events here, according to this episode, Earth fought the Romulan Wars. After about 5 years of conflict, a stalemate brought about a treaty and the institution of the Neutral Zone, a boundary between us and the Romulan Empire. Now, on this stardate, the treaty appears to be broken, as our outposts are being attacked and destroyed by some weapon of immense power. Yes, the Romulans are back, testing their new war toy, and Kirk must now earn his pay: he must make decisions that would affect this sector of the galaxy, such as figuring out how to avoid a...oh, I dunno - an interstellar war, maybe? <br /><br />I think what makes this episode so effective is that it doesn't shy away from the grim aspects of war, as one would expect of a mere TV episode from the sixties - especially an episode from a science fiction show. It's all very tense and gripping, like the best war films, such as when Kirk sits down with his key officers for what amounts to a war council. The writers and the actors aren't kidding around here: this is all preparation for a ghastly conflict, potentially the beginning of another years-long battleground. In the final analysis, Kirk's aim is to keep this battleground to just the two ships - but even then it's an endeavor fraught with peril and probable casualties. In fact, I believe this episode holds the record for ship casualties by the end of it. Right at the start of the episode, we see the devastation such battle can produce, in that supposedly well-protected outpost. Then begin the cat-and-mouse war games between the Enterprise and the Romulan ship - it's as exciting as any conflict we've seen on the big screen. Of course, if you're not into war films, you'd have to look for other things to admire in this episode.<br /><br />What elevates this episode even further is the revelation of just what and who the Romulans are - it's an electric shock of a sort. Now we have even further inter-crew conflict on the bridge of the Enterprise - war does tend to bring out the worst in some people. Due to still nasty attitudes about race in this future, the tension is ratcheted up even further - Kirk has his hands full in this one. I suppose the one weakness in the story is the convenient relenting of the bigotry issue by the conclusion. On the Romulan side, actor Lenard makes his first appearance in the Trek universe as the Romulan commander; he's terrific in the role, the flip side of Capt. Kirk or Capt. Pike, take your pick, done up to resemble Spock more than a little. Surprisingly, his character is not war hungry as we would expect, another eye-opener for this episode. The actor would next return to this universe as Sarek, Spock's father, so he's nothing if not versatile. It's also telling how the first appearance of such characters as the Romulans is usually their best shot, as it is here. They showed up in ""The Enterprise Incident"" next.",positive
"This was a movie that I had heard about all my life growing up, but had never seen it until a few years ago. It's reputation truly proceeded it. I knew of Michael Myers, had seen the mask, saw commercials for all of the crummy sequels that followed. But I was growing up during the decade where Jason and Freddy had a deadly grip on the horror game, and never thought much of the Halloween franchise. Boy, how I was being cheated with cheap knock offs.<br /><br />Halloween is a genuinely terrifying movie. Now, by today's standards, it isn't as graphic and visceral, but this film delivers on all the other levels most horror movies fail to achieve today. The atmosphere that John Carpenter creates is so creepy, and the fact that it is set in a quaint, mid-west town is a testament to his ability. The lighting effects are down right horrifying, with ""The Shape"" seemingly appearing and disappearing into the shadows at will. The simple yet brutally effective music score only adds to the suspense.<br /><br />The performances by all the players are well done, with specific nods to Jamie Lee Curtis and Donald Pleasance. Ms. Curtis is such a good Laurie Strode because she is so likable and vulnerable. It is all the more frightening when she is being stalked by Michael Myers because the director and viewer have invested so much into her, we want her to survive and get away.<br /><br />Donald Pleasance plays Dr. Loomis like a man on a mission, and it works well. He adds a sense of urgency to the predicament the town finds itself in because he knows what evil stalks their streets.<br /><br />Overall, not only is Halloween a great horror movie, but also a great film. It works on many levels and draws the audience in and never lets up. This should be standard viewing for anyone wanting to experience a truly scary movie. And for an even more frightful time, try watching it alone with the lights off. Don't be surprised if you think you see ""The Shape"" lurking around in the shadows!",positive
"Let me begin by saying that there is no bigger fan of the original ""Lonesome Dove"" than I. Both the Pulitzer Prize-winning book and the towering mini-series adapted from it stand alone in my experience as moving, dramatic, believable, and engrossing works. There is no comparison between ""Lonesome Dove"" and any Western film- at least not since the legendary collaborations of John Ford and John Wayne. It was with real reservations that I sat down to watch this new mini-series, what with McMurtry's non-participation, and the missing original cast members. After watching the first episode it was clear that this is no ""Lonesome Dove"". In almost every measurable way this sequel falls short of the original. But so what? I wasn't expecting it to measure up. Taken as an effort of it's own this film is engaging, entertaining and of a very good quality. If it were done as a new story, not as a sequel to ""Lonesome Dove"", there is no question in my mind that it would not have received as many negative ratings. Jon Voight did a creditable job as Call, Barbara Hershey was a terrific Clara, and the new characters like Gideon Walker and Agostina Vega were well rendered and believable. Louis Gossett jr. deserves special mention as the horse wrangler Isom Pickett. The film made me care about the characters, and I don't ask any more than that from an actor. it is unfortunate that this worthy effort stands in the shadow of it's predecessor- it is worth viewing in it's own right.",positive
"I wasn't really interested in seeing Step Up, but my friend just kept bugging and bugging me to see this film, especially since she is so in love with Channing Tatum, I tease her constantly about it saying how that's the only reason why she loved the movie. But she somehow convinced me that it was a movie worth seeing, that if I loved movies like Dirty Dancing, Take the Lead, and Save the Last Dance, that I should love Step Up, eh, what the heck? I guess every movie in some way has it's right to a view.<br /><br />Well, you know those movies I just mentioned up top? Dirty Dancing, Take the Lead, and Save the Last Dance? Well, put them in a blender with some gangsta love in it and that's what you have. Not to mention if you've seen those movies, well, frankly, you have seen Step Up. Because Channing is lower class with street smarts who just naturally feels the music while that snobby up class girl must follow step by step, how will they ever fall in love if they are so different? After all, this is their chance to ""step up"" to the passion, the mystery, and the lust of the dance! <br /><br />OK, that was a silly plot explanation, but like I said, as long as you've seen those movies I mentioned, or even if you just saw the plot, you get the movie. I don't understand how it actually has a 5.5 rating, I bet it's those Channing lovers! LOL! I'm kidding with you guys, but it's all good, I guess I just didn't get what others did with the passion, the mystery that is the dance! Oh, Antonio Bandares, where are you when we need you?! <br /><br />4/10",negative
"I haven't seen BSG, I tried to watch it once in the middle of the show but couldn't get into it. However, I saw Caprica Rebirth yesterday I felt a little lost, so I decided to watch the Pilot today and I must say I was pleasantly surprised. I think this is a promising show and the only side effect it had on me is that now I want to watch BSG as well.<br /><br />But what I really liked is that I didn't have to be a hardcore BSG fan to understand what's going on in Caprica. From what I have read in the net, they were trying to reach the female population since BSG reached way more men, and at least in my case it worked.<br /><br />However, I suggest that if you are trying to watch the show do it from the beginning starting with the Pilot.",positive
